2025-04-03 09:08:33 - Anomaly Detected: (2, array([ 10897, 480304,    613,    169]))
2025-04-03 09:08:33 - Anomaly Detected: (8, array([  6398, 444609,    485,    168]))
2025-04-03 09:08:55 - Anomaly Detected: (0, array([  75750548, 1498691146,    3586959,        170]))
2025-04-03 09:08:55 - Anomaly Detected: (2, array([ 10897, 480304,    613,    169]))
2025-04-03 09:08:55 - Anomaly Detected: (8, array([  6398, 444609,    485,    168]))
2025-04-03 09:09:17 - Anomaly Detected: (0, array([  75750548, 1498691146,    3586959,        170]))
2025-04-03 09:09:17 - Anomaly Detected: (2, array([ 10897, 480304,    613,    169]))
2025-04-03 09:09:17 - Anomaly Detected: (8, array([  6398, 444609,    485,    168]))
2025-04-03 09:09:39 - Anomaly Detected: (0, array([  75750548, 1498691146,    3586959,        170]))
2025-04-03 09:09:39 - Anomaly Detected: (2, array([ 10897, 480304,    613,    169]))
2025-04-03 09:09:39 - Anomaly Detected: (8, array([  6398, 444609,    485,    168]))
2025-04-03 09:10:49 - Anomaly Detected: (0, array([  76484605, 1522182153,    3624361,        158]))
2025-04-03 09:10:49 - Anomaly Detected: (1, array([   55, 25325,   131,   158]))
2025-04-03 09:10:49 - Anomaly Detected: (6, array([  8623, 974572,    955,    158]))
2025-04-03 09:10:52 - Anomaly Detected: (0, array([  76484605, 1522182153,    3624361,        158]))
2025-04-03 09:10:52 - Anomaly Detected: (1, array([   55, 25325,   131,   158]))
2025-04-03 09:10:52 - Anomaly Detected: (2, array([  927, 53642,   153,   158]))
2025-04-03 09:10:52 - Anomaly Detected: (3, array([    0, 41764,   133,   158]))
2025-04-03 09:10:52 - Anomaly Detected: (6, array([  8623, 974572,    955,    158]))
2025-04-03 09:10:52 - Anomaly Detected: (7, array([    0, 63911,   167,   158]))
2025-04-03 09:10:52 - Anomaly Detected: (8, array([   66, 54360,   128,   158]))
2025-04-03 09:10:52 - Anomaly Detected: (10, array([  3808, 163368,    241,    157]))
2025-04-03 09:10:52 - Anomaly Detected: (11, array([  5004, 845643,    829,    157]))
2025-04-03 09:10:54 - Anomaly Detected: (0, array([  76484605, 1522182153,    3624361,        158]))
2025-04-03 09:10:54 - Anomaly Detected: (1, array([   55, 25325,   131,   158]))
2025-04-03 09:10:54 - Anomaly Detected: (2, array([  927, 53642,   153,   158]))
2025-04-03 09:10:54 - Anomaly Detected: (3, array([    0, 41764,   133,   158]))
2025-04-03 09:10:54 - Anomaly Detected: (4, array([   55, 31983,   118,   158]))
2025-04-03 09:10:54 - Anomaly Detected: (6, array([  8623, 974572,    955,    158]))
2025-04-03 09:10:54 - Anomaly Detected: (7, array([    0, 63911,   167,   158]))
2025-04-03 09:10:54 - Anomaly Detected: (8, array([   66, 54360,   128,   158]))
2025-04-03 09:10:54 - Anomaly Detected: (10, array([  3808, 163368,    241,    157]))
2025-04-03 09:10:54 - Anomaly Detected: (11, array([  5004, 845643,    829,    157]))
2025-04-03 09:10:54 - Anomaly Detected: (13, array([129867,  25063,    188,    160]))
2025-04-03 09:12:22 - Anomaly Detected: (0, array([  77595919, 1541079794,    3654026,        163]))
2025-04-03 09:12:22 - Anomaly Detected: (2, array([  6369, 579187,    627,    163]))
2025-04-03 09:12:22 - Anomaly Detected: (3, array([    0, 21415,    96,   163]))
2025-04-03 09:12:22 - Anomaly Detected: (8, array([ 13664, 456733,    569,    163]))
2025-04-03 09:12:24 - Anomaly Detected: (0, array([  77595919, 1541079794,    3654026,        163]))
2025-04-03 09:12:24 - Anomaly Detected: (1, array([  2711, 118194,    349,    163]))
2025-04-03 09:12:24 - Anomaly Detected: (2, array([  6369, 579187,    627,    163]))
2025-04-03 09:12:24 - Anomaly Detected: (4, array([ 3229, 21860,   113,   163]))
2025-04-03 09:12:24 - Anomaly Detected: (6, array([  293, 70258,   235,   162]))
2025-04-03 09:12:24 - Anomaly Detected: (7, array([ 2461, 57672,   209,   162]))
2025-04-03 09:12:24 - Anomaly Detected: (8, array([ 13664, 456733,    569,    163]))
2025-04-03 09:12:24 - Anomaly Detected: (9, array([13031, 93718,   258,   164]))
2025-04-03 09:12:24 - Anomaly Detected: (11, array([ 28040, 257456,    580,    171]))
2025-04-03 09:12:27 - Anomaly Detected: (0, array([  77595919, 1541079794,    3654026,        163]))
2025-04-03 09:12:27 - Anomaly Detected: (1, array([  2711, 118194,    349,    163]))
2025-04-03 09:12:27 - Anomaly Detected: (2, array([  6369, 579187,    627,    163]))
2025-04-03 09:12:27 - Anomaly Detected: (4, array([ 3229, 21860,   113,   163]))
2025-04-03 09:12:27 - Anomaly Detected: (5, array([    3, 33571,   155,   162]))
2025-04-03 09:12:27 - Anomaly Detected: (6, array([  293, 70258,   235,   162]))
2025-04-03 09:12:27 - Anomaly Detected: (7, array([ 2461, 57672,   209,   162]))
2025-04-03 09:12:27 - Anomaly Detected: (8, array([ 13664, 456733,    569,    163]))
2025-04-03 09:12:27 - Anomaly Detected: (9, array([13031, 93718,   258,   164]))
2025-04-03 09:12:27 - Anomaly Detected: (10, array([  727, 34817,   131,   164]))
2025-04-03 09:12:27 - Anomaly Detected: (11, array([ 28040, 257456,    580,    171]))
2025-04-03 09:12:27 - Anomaly Detected: (12, array([ 79317, 799735,   1014,    173]))
2025-04-03 09:12:27 - Anomaly Detected: (13, array([ 6123, 46331,   200,   173]))
2025-04-03 09:13:35 - Anomaly Detected: (0, array([  78098810, 1552850910,    3675388,        157]))
2025-04-03 09:13:35 - Anomaly Detected: (2, array([  5805, 538696,    643,    155]))
2025-04-03 09:13:35 - Anomaly Detected: (4, array([    0, 24518,   126,   152]))
2025-04-03 09:13:35 - Anomaly Detected: (8, array([  6739, 582114,    630,    152]))
2025-04-03 09:13:37 - Anomaly Detected: (0, array([  78098810, 1552850910,    3675388,        157]))
2025-04-03 09:13:37 - Anomaly Detected: (1, array([    0, 91295,   236,   156]))
2025-04-03 09:13:37 - Anomaly Detected: (2, array([  5805, 538696,    643,    155]))
2025-04-03 09:13:37 - Anomaly Detected: (3, array([ 5865, 47327,   209,   152]))
2025-04-03 09:13:37 - Anomaly Detected: (5, array([ 3363, 39871,   162,   152]))
2025-04-03 09:13:37 - Anomaly Detected: (6, array([    0, 37976,   199,   152]))
2025-04-03 09:13:37 - Anomaly Detected: (7, array([    0, 41867,   175,   152]))
2025-04-03 09:13:37 - Anomaly Detected: (8, array([  6739, 582114,    630,    152]))
2025-04-03 09:13:37 - Anomaly Detected: (9, array([    0, 38307,   134,   152]))
2025-04-03 09:13:37 - Anomaly Detected: (11, array([  5622, 429176,    498,    152]))
2025-04-03 09:13:39 - Anomaly Detected: (0, array([  78098810, 1552850910,    3675388,        157]))
2025-04-03 09:13:39 - Anomaly Detected: (1, array([    0, 91295,   236,   156]))
2025-04-03 09:13:39 - Anomaly Detected: (2, array([  5805, 538696,    643,    155]))
2025-04-03 09:13:39 - Anomaly Detected: (3, array([ 5865, 47327,   209,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (4, array([    0, 24518,   126,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (5, array([ 3363, 39871,   162,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (6, array([    0, 37976,   199,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (7, array([    0, 41867,   175,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (8, array([  6739, 582114,    630,    152]))
2025-04-03 09:13:39 - Anomaly Detected: (9, array([    0, 38307,   134,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (11, array([  5622, 429176,    498,    152]))
2025-04-03 09:13:39 - Anomaly Detected: (12, array([   54, 38208,   149,   152]))
2025-04-03 09:13:39 - Anomaly Detected: (13, array([ 5132, 49535,   225,   152]))
2025-04-03 09:14:07 - Anomaly Detected: (0, array([  78098810, 1552850910,    3675388,        157]))
2025-04-03 09:14:07 - Anomaly Detected: (1, array([    0, 91295,   236,   156]))
2025-04-03 09:14:07 - Anomaly Detected: (2, array([  5805, 538696,    643,    155]))
2025-04-03 09:14:07 - Anomaly Detected: (8, array([  6739, 582114,    630,    152]))
2025-04-03 09:14:07 - Anomaly Detected: (11, array([  5622, 429176,    498,    152]))
2025-04-03 09:14:07 - Anomaly Detected: (15, array([  5777, 428351,    465,    151]))
2025-04-03 09:14:07 - Anomaly Detected: (22, array([   92, 60828,   174,   152]))
2025-04-03 09:14:07 - Anomaly Detected: (23, array([  8117, 598630,    643,    153]))
2025-04-03 09:14:07 - Anomaly Detected: (28, array([  6688, 575419,    602,    152]))
2025-04-03 09:14:07 - Anomaly Detected: (32, array([ 23217, 762771,    848,    158]))
2025-04-03 09:14:07 - Anomaly Detected: (34, array([   559, 144832,    288,    157]))
2025-04-03 09:14:07 - Anomaly Detected: (38, array([  7546, 582407,    689,    158]))
2025-04-03 09:14:07 - Anomaly Detected: (40, array([46862, 43952,   236,   161]))
2025-04-03 09:14:39 - Anomaly Detected: (0, array([  78098810, 1552850910,    3675388,        157]))
2025-04-03 09:14:39 - Anomaly Detected: (1, array([    0, 91295,   236,   156]))
2025-04-03 09:14:39 - Anomaly Detected: (2, array([  5805, 538696,    643,    155]))
2025-04-03 09:14:39 - Anomaly Detected: (3, array([ 5865, 47327,   209,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (4, array([    0, 24518,   126,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (5, array([ 3363, 39871,   162,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (6, array([    0, 37976,   199,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (7, array([    0, 41867,   175,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (8, array([  6739, 582114,    630,    152]))
2025-04-03 09:14:39 - Anomaly Detected: (9, array([    0, 38307,   134,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (10, array([  592, 19223,    96,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (11, array([  5622, 429176,    498,    152]))
2025-04-03 09:14:39 - Anomaly Detected: (12, array([   54, 38208,   149,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (14, array([  317, 48076,   157,   151]))
2025-04-03 09:14:39 - Anomaly Detected: (15, array([  5777, 428351,    465,    151]))
2025-04-03 09:14:39 - Anomaly Detected: (16, array([   92, 32468,   112,   151]))
2025-04-03 09:14:39 - Anomaly Detected: (17, array([   92, 17552,   100,   151]))
2025-04-03 09:14:39 - Anomaly Detected: (18, array([ 3147, 32885,   190,   151]))
2025-04-03 09:14:39 - Anomaly Detected: (19, array([  504, 24962,   117,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (20, array([    0, 25889,   106,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (21, array([   92, 37210,   168,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (22, array([   92, 60828,   174,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (23, array([  8117, 598630,    643,    153]))
2025-04-03 09:14:39 - Anomaly Detected: (24, array([  806, 23760,   111,   153]))
2025-04-03 09:14:39 - Anomaly Detected: (25, array([ 3183, 25850,   110,   153]))
2025-04-03 09:14:39 - Anomaly Detected: (26, array([   92, 25995,   138,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (27, array([   92, 30167,   103,   152]))
2025-04-03 09:14:39 - Anomaly Detected: (28, array([  6688, 575419,    602,    152]))
2025-04-03 09:14:39 - Anomaly Detected: (29, array([  504, 29828,   162,   153]))
2025-04-03 09:14:39 - Anomaly Detected: (30, array([    0, 25307,   110,   153]))
2025-04-03 09:14:39 - Anomaly Detected: (31, array([10917, 40439,   159,   155]))
2025-04-03 09:14:39 - Anomaly Detected: (32, array([ 23217, 762771,    848,    158]))
2025-04-03 09:14:39 - Anomaly Detected: (33, array([ 3147, 33145,   127,   158]))
2025-04-03 09:14:39 - Anomaly Detected: (34, array([   559, 144832,    288,    157]))
2025-04-03 09:14:39 - Anomaly Detected: (35, array([    0, 33119,   126,   157]))
2025-04-03 09:14:39 - Anomaly Detected: (36, array([ 4833, 39368,   179,   158]))
2025-04-03 09:14:39 - Anomaly Detected: (38, array([  7546, 582407,    689,    158]))
2025-04-03 09:14:39 - Anomaly Detected: (39, array([ 3147, 35773,   183,   158]))
2025-04-03 09:14:39 - Anomaly Detected: (40, array([46862, 43952,   236,   161]))
2025-04-03 09:14:39 - Anomaly Detected: (41, array([ 6030, 40549,   204,   162]))
2025-04-03 09:14:39 - Anomaly Detected: (42, array([10414, 30228,   185,   162]))
2025-04-03 09:14:39 - Anomaly Detected: (43, array([ 11921, 432249,    490,    161]))
2025-04-03 09:14:39 - Anomaly Detected: (44, array([   92, 39950,   160,   161]))
2025-04-03 09:14:39 - Anomaly Detected: (45, array([    0, 27012,   124,   161]))
2025-04-03 09:14:39 - Anomaly Detected: (46, array([ 3451, 37565,   164,   162]))
2025-04-03 09:14:39 - Anomaly Detected: (47, array([  108, 29386,   122,   162]))
2025-04-03 09:14:39 - Anomaly Detected: (48, array([  108, 41130,   184,   161]))
2025-04-03 09:14:39 - Anomaly Detected: (49, array([  6604, 591918,    654,    161]))
2025-04-03 09:14:39 - Anomaly Detected: (50, array([    0, 19521,    91,   161]))
2025-04-03 09:14:39 - Anomaly Detected: (51, array([ 3821, 47527,   188,   162]))
2025-04-03 09:14:39 - Anomaly Detected: (53, array([ 9430, 57652,   210,   165]))
2025-04-03 09:14:39 - Anomaly Detected: (54, array([ 21018, 441290,    562,    165]))
2025-04-03 09:14:39 - Anomaly Detected: (55, array([ 6124, 64670,   200,   167]))
2025-04-03 09:14:39 - Anomaly Detected: (56, array([11521, 34817,   177,   168]))
2025-04-03 09:14:39 - Anomaly Detected: (57, array([ 23363, 479354,    646,    171]))
2025-04-03 09:14:39 - Anomaly Detected: (58, array([ 39793, 274230,    616,    184]))
2025-04-03 09:14:39 - Anomaly Detected: (59, array([ 26866, 109485,    472,    203]))
2025-04-03 09:14:39 - Anomaly Detected: (60, array([13498, 81346,   267,   207]))
2025-04-03 09:14:39 - Anomaly Detected: (61, array([  4042, 145462,    257,    203]))
2025-04-03 09:14:39 - Anomaly Detected: (62, array([ 21909, 269760,    438,    205]))
2025-04-03 09:14:39 - Anomaly Detected: (63, array([  6149, 155602,    338,    204]))
2025-04-03 09:14:39 - Anomaly Detected: (64, array([ 14351, 627612,    715,    205]))
2025-04-03 09:14:39 - Anomaly Detected: (65, array([ 3434, 43336,   172,   205]))
2025-04-03 09:14:39 - Anomaly Detected: (66, array([    1, 24060,   109,   204]))
2025-04-03 09:14:39 - Anomaly Detected: (67, array([13430, 44732,   141,   206]))
2025-04-03 09:14:39 - Anomaly Detected: (68, array([    0, 23115,   114,   205]))
2025-04-03 09:14:39 - Anomaly Detected: (69, array([ 12761, 558512,    634,    204]))
2025-04-03 09:14:39 - Anomaly Detected: (70, array([   93, 22227,   105,   203]))
2025-04-03 09:14:39 - Anomaly Detected: (71, array([    1, 28348,   126,   203]))
2025-04-03 09:14:39 - Anomaly Detected: (72, array([    1, 30914,   120,   203]))
2025-04-03 09:14:39 - Anomaly Detected: (73, array([11918, 41492,   194,   208]))
2025-04-03 09:15:12 - Anomaly Detected: (16, array([   92, 60828,   174,   152]))
2025-04-03 09:15:12 - Anomaly Detected: (26, array([ 23217, 762771,    848,    158]))
2025-04-03 09:15:12 - Anomaly Detected: (28, array([   559, 144832,    288,    157]))
2025-04-03 09:15:12 - Anomaly Detected: (34, array([46862, 43952,   236,   161]))
2025-04-03 09:15:12 - Anomaly Detected: (49, array([ 6124, 64670,   200,   167]))
2025-04-03 09:15:12 - Anomaly Detected: (52, array([ 39793, 274230,    616,    184]))
2025-04-03 09:15:12 - Anomaly Detected: (53, array([ 26866, 109485,    472,    203]))
2025-04-03 09:15:12 - Anomaly Detected: (54, array([13498, 81346,   267,   207]))
2025-04-03 09:15:12 - Anomaly Detected: (55, array([  4042, 145462,    257,    203]))
2025-04-03 09:15:12 - Anomaly Detected: (56, array([ 21909, 269760,    438,    205]))
2025-04-03 09:15:12 - Anomaly Detected: (57, array([  6149, 155602,    338,    204]))
2025-04-03 09:15:12 - Anomaly Detected: (58, array([ 14351, 627612,    715,    205]))
2025-04-03 09:15:12 - Anomaly Detected: (74, array([ 3148, 15539,    66,   211]))
2025-04-03 09:15:12 - Anomaly Detected: (75, array([  92, 8912,   58,  211]))
2025-04-03 09:15:12 - Anomaly Detected: (83, array([  4705, 205968,    234,    184]))
2025-04-03 09:15:12 - Anomaly Detected: (84, array([  2567, 402542,    400,    184]))
2025-04-03 09:15:12 - Anomaly Detected: (88, array([54350, 36252,   196,   173]))
2025-04-03 09:15:12 - Anomaly Detected: (89, array([ 7212, 70404,   345,   173]))
2025-04-03 09:15:12 - Anomaly Detected: (90, array([ 2809, 70193,   287,   172]))
2025-04-03 09:15:12 - Anomaly Detected: (91, array([ 3056, 81965,   314,   171]))
2025-04-03 09:15:12 - Anomaly Detected: (92, array([   734, 145914,    295,    171]))
2025-04-03 09:15:12 - Anomaly Detected: (98, array([  4768, 204880,    265,    166]))
2025-04-03 09:15:12 - Anomaly Detected: (99, array([ 37692, 266427,    382,    166]))
2025-04-03 09:15:39 - Anomaly Detected: (1, array([   559, 144832,    288,    157]))
2025-04-03 09:15:39 - Anomaly Detected: (7, array([46862, 43952,   236,   161]))
2025-04-03 09:15:39 - Anomaly Detected: (22, array([ 6124, 64670,   200,   167]))
2025-04-03 09:15:39 - Anomaly Detected: (25, array([ 39793, 274230,    616,    184]))
2025-04-03 09:15:39 - Anomaly Detected: (26, array([ 26866, 109485,    472,    203]))
2025-04-03 09:15:39 - Anomaly Detected: (27, array([13498, 81346,   267,   207]))
2025-04-03 09:15:39 - Anomaly Detected: (28, array([  4042, 145462,    257,    203]))
2025-04-03 09:15:39 - Anomaly Detected: (30, array([  6149, 155602,    338,    204]))
2025-04-03 09:15:39 - Anomaly Detected: (31, array([ 14351, 627612,    715,    205]))
2025-04-03 09:15:39 - Anomaly Detected: (48, array([  92, 8912,   58,  211]))
2025-04-03 09:15:39 - Anomaly Detected: (56, array([  4705, 205968,    234,    184]))
2025-04-03 09:15:39 - Anomaly Detected: (57, array([  2567, 402542,    400,    184]))
2025-04-03 09:15:39 - Anomaly Detected: (61, array([54350, 36252,   196,   173]))
2025-04-03 09:15:39 - Anomaly Detected: (62, array([ 7212, 70404,   345,   173]))
2025-04-03 09:15:39 - Anomaly Detected: (63, array([ 2809, 70193,   287,   172]))
